"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"1",2245941,"HOUSE",179000,150,196,3,"Bornem","2880","Weertstraat","61",4.1994538656518,51.065333759005,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2245941",NA
"2",2241412,"HOUSE",395000,170,847,2,"Bornem","2880","Kraeyhoevelaan","8",4.2089123400768,51.073250239822,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2241412",NA
"3",2235599,"HOUSE",196000,112,106.57225268906,4,"Bornem","2880","Barelstraat","8",4.2328432083746,51.095568224466,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2235599",NA
"4",2373250,"HOUSE",452700,120,1020.7454773704,3,"Puurs-Sint-Amands","2890","Provincialeweg","93",4.2612510993907,51.045250239588,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2373250",NA
"5",2240322,"HOUSE",325000,183,157,2,"Bornem","2880","Karel suykensstraat","73",4.2996487261061,51.096881895069,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2240322",NA
"6",1869927,"HOUSE",339000,160,300,3,"Antwerpen","2040","Monnikenhofstraat","73",4.31847525353,51.345326029126,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1869927",NA
"7",2108783,"HOUSE",229000,71,50,2,"Niel","2845","Oud begijnhof","3",4.3256633001635,51.107273853315,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2108783",NA
"8",6143452,"HOUSE",429775.97,NA,368,3,"Puurs-Sint-Amands","2870","Hospiceveld","3",4.3257652457814,51.082375771421,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/6143452",NA
"9",2213608,"HOUSE",749000,440,1133,5,"Zwijndrecht","2070","Statiestraat","58",4.3283595591325,51.216810882401,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2213608",NA
"10",2210225,"HOUSE",299000,293,1105,4,"Zwijndrecht","2070","Kruibeeksesteenweg","10",4.3296871913813,51.197800832073,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2210225",NA
"11",2105859,"HOUSE",298000,279,137.67695174632,3,"Niel","2845","Antwerpsestraat","57",4.3298880503752,51.108616465643,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2105859",NA
"12",2049332,"HOUSE",285000,150,258,3,"Hemiksem","2620","Kruishoevewijk","19",4.3340224764324,51.133366005671,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2049332",NA
"13",2107679,"HOUSE",368000,181,238.88175104689,3,"Niel","2845","Jozef Wauterslaan","41",4.3341821904704,51.111333653768,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2107679",NA
"14",2211878,"HOUSE",695000,290,1793,4,"Zwijndrecht","2070","Neerstraat","12",4.3361442537277,51.226969295682,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2211878",NA
"15",2048169,"HOUSE",159000,90,69,3,"Hemiksem","2620","Heuvelstraat","10",4.337279,51.1406,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2048169",NA
"16",2206180,"HOUSE",314000,150,366,2,"Zwijndrecht","2070","Boomgaardstraat","42",4.3381642774995,51.203597011377,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2206180",NA
"17",2129388,"HOUSE",379000,165,200,4,"Schelle","2627","Provinciale steenweg","225",4.3388172001157,51.122838390709,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2129388",NA
"18",2129630,"HOUSE",315000,130,271,3,"Schelle","2627","Rubensstraat","73",4.3393893256882,51.115125574324,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2129630",NA
"19",1818788,"HOUSE",219000,186,130,2,"Antwerpen","2660","Kapelstraat","237",4.339601643498,51.173387115428,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1818788",NA
"20",2047379,"HOUSE",165000,100,237,2,"Hemiksem","2620","D. coppensstraat","9",4.3402378875645,51.144661595051,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2047379",NA
"21",2047777,"HOUSE",345000,158,223,3,"Hemiksem","2620","Europalaan","10",4.340852729398,51.134467513848,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2047777",NA
"22",2047473,"HOUSE",339000,130,230,4,"Hemiksem","2620","De bosschaertlei","16",4.3409237164836,51.145979612786,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2047473",NA
"23",2209588,"HOUSE",215000,160,151,3,"Zwijndrecht","2070","Kerkstraat","91",4.3412042849462,51.200260132667,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2209588",NA
"24",1984059,"HOUSE",219000,145,99.912773703691,3,"Boom","2850","Noeveren","312",4.344770524736,51.097647184287,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1984059",NA
"25",1871537,"HOUSE",255000,147,148,3,"Antwerpen","2660","Moretusstraat","41",4.3491839619942,51.174245396876,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1871537",NA
"26",1735410,"HOUSE",259000,105,140,3,"Antwerpen","2660","Commandant weynsstraat","36",4.3502746663923,51.181961789334,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1735410",NA
"27",1801269,"HOUSE",399000,188,170,3,"Antwerpen","2660","Ijskelderstraat","38",4.3506304928733,51.180978244592,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1801269",NA
"28",2383948,"HOUSE",257000,104,102,1,"Willebroek","2830","Appeldonkstraat","264",4.3510864591352,51.071363319325,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2383948",NA
"29",2384605,"HOUSE",453800,130,405.24675830462,3,"Willebroek","2830","Beekstraat","83",4.3525740824207,51.031495802727,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2384605",NA
"30",1814776,"HOUSE",349000,135,144.82603903301,3,"Antwerpen","2660","Jules destreestraat","7",4.3532282573415,51.181729598768,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1814776","new"
"31",2384431,"HOUSE",422600,133,1328.9790066094,3,"Willebroek","2830","Baeckelmansstraat","56",4.3533728257253,51.035386339159,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2384431",NA
"32",1882540,"HOUSE",328000,133,0,3,"Antwerpen","2660","Oudestraat","122",4.3539180777606,51.173730452211,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1882540",NA
"33",2384019,"HOUSE",385000,192,490,5,"Willebroek","2830","Appeldonkstraat","170",4.3543502207485,51.070528996645,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2384019",NA
"34",2383934,"HOUSE",110000,90,200,2,"Willebroek","2830","Appeldonkstraat","148",4.355031504103,51.070312668014,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2383934",NA
"35",5193949,"HOUSE",389893.66,NA,364,3,"Willebroek","2830","Veldovenstraat","28",4.356949,51.044972,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/5193949",NA
"36",2392621,"HOUSE",410000,276,260.95700334699,5,"Willebroek","2830","Oud-Strijdersstraat","13",4.3591355033663,51.05963863166,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2392621",NA
"37",2394630,"HOUSE",445000,231,354,4,"Willebroek","2830","Tisseltsesteenweg 104","127",4.3594309790304,51.04547446729,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2394630",NA
"38",2394559,"HOUSE",625000,264,115.96677450137,6,"Willebroek","2830","Stationsstraat","34",4.359980431218,51.063547677703,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2394559",NA
"39",1750764,"HOUSE",375000,172,160,2,"Antwerpen","2660","Distelvinklaan","14",4.3612814412404,51.17100358453,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1750764",NA
"40",1865535,"HOUSE",399000,180,182,4,"Antwerpen","2660","Meetjeslandstraat","37",4.3615691537058,51.185019121993,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1865535",NA
"41",1791822,"HOUSE",224000,100,100,2,"Antwerpen","2660","Heidestraat","126",4.3617122520956,51.174065200389,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1791822",NA
"42",1981453,"HOUSE",385000,267,175,3,"Boom","2850","Jan baptist corremansstraat","102",4.3618279629497,51.090261937951,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1981453",NA
"43",1691625,"HOUSE",359000,162,16,3,"Aartselaar","2630","Peter benoitlaan","11",4.3632983446706,51.111918520608,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1691625",NA
"44",1688717,"HOUSE",385000,191,210,4,"Aartselaar","2630","Jan blockxlaan","4",4.3654983588243,51.110765347954,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1688717",NA
"45",1966712,"HOUSE",365000,159,179.49194326205,4,"Antwerpen","2660","Windmolenstraat","154",4.3657124034225,51.176751333218,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1966712",NA
